run_id,seed,villager_win,vill_vote_accuracy,judge_accept,talk_vote_align,dz_mse
run_1785979491_275874,1337,0,0.23809523809523808,nan,0.2222222222222222,2.6736144077630692
run_1785979498_9231f6,1337,0,0.29411764705882354,nan,0.2857142857142857,2.6853794014972188
run_1785979505_2edab0,1337,0,0.3,nan,0.25,2.6188796815418063
run_1785979512_b8727d,1337,0,0.2727272727272727,nan,0.2727272727272727,2.6504387749565974
run_1785979519_1ffd87,1337,0,0.29411764705882354,nan,0.25,2.6633179015007573
run_1785979525_b1813b,1337,0,0.29411764705882354,nan,0.2,2.643627028534378
run_1785979532_5ea4b2,1337,0,0.23529411764705882,nan,0.0,2.6359014096467392
run_1785979539_36dcb8,1337,1,0.4,nan,0.18181818181818182,2.649689144558377
run_1785979546_e657f5,1337,0,0.17647058823529413,nan,0.1,2.640309748442277
run_1785979552_aec279,1337,0,0.3,nan,0.15384615384615385,2.6394664219447543
run_1785979559_3f4239,1337,0,0.3,nan,0.23076923076923078,2.6114018758138022
run_1785979566_995774,1337,0,0.3,nan,0.3,2.650619789406105
run_1785979572_5379ea,1337,0,0.23529411764705882,nan,0.2,2.626699765523275
run_1785979579_5cc277,1337,0,0.23529411764705882,nan,0.2,2.6265249805174014
run_1785979586_f51602,1337,0,0.23529411764705882,nan,0.2857142857142857,2.6498755164768384
run_1785979592_60ec7b,2718,0,0.2,nan,0.4166666666666667,2.6623717884958524
run_1785979599_3c0391,2718,0,0.32,nan,0.17647058823529413,2.64701771736145
run_1785979606_de1ac2,2718,0,0.29411764705882354,nan,0.25,2.6225181662518047
run_1785979612_3fcdea,2718,0,0.29411764705882354,nan,0.16666666666666666,2.62507925171783
run_1785979619_2cc6d7,2718,0,0.3,nan,0.2222222222222222,2.622923941839309
run_1785979626_966489,2718,0,0.19047619047619047,nan,0.3333333333333333,2.647990568184558
run_1785979633_a54cd9,2718,0,0.25,nan,0.1,2.6257081712995256
run_1785979640_def310,2718,0,0.35,nan,0.3,2.6225639979044595
run_1785979647_4f2114,2718,0,0.23809523809523808,nan,0.14285714285714285,2.642210689591773
run_1785979654_0b4a85,2718,0,0.3,nan,0.14285714285714285,2.6359865097772506
run_1785979660_572ddf,2718,0,0.2,nan,0.2857142857142857,2.614778306749132
run_1785979667_a8e11e,2718,0,0.23529411764705882,nan,0.2222222222222222,2.591695771701094
run_1785979674_adb336,2718,0,0.4,nan,0.16666666666666666,2.6938800105342158
run_1785979680_53d4ad,2718,0,0.2,nan,0.25,2.618301862551842
run_1785979687_a25d6f,2718,1,0.3888888888888889,nan,0.09090909090909091,2.6839643975962764
