run_id,seed,villager_win,vill_vote_accuracy,judge_accept,talk_vote_align,dz_mse
run_1785977273_09ca94,1337,0,0.3888888888888889,nan,1.0,2.0630678865644665
run_1785977279_78ec6f,1337,1,1.0,nan,1.0,2.236788749694824
run_1785977284_113f76,1337,0,0.29411764705882354,nan,1.0,2.090654797024197
run_1785977290_10baee,1337,1,0.5263157894736842,nan,1.0,2.070119751824273
run_1785977295_d2ecf9,1337,1,0.7058823529411765,nan,1.0,2.0949220203218006
run_1785977301_9153d4,1337,0,0.3333333333333333,nan,1.0,2.043639447953966
run_1785977307_1ea310,1337,1,0.5263157894736842,nan,1.0,2.0552353858947754
run_1785977314_614b04,1337,1,0.35294117647058826,nan,1.0,2.0821445253160267
run_1785977321_7e6497,1337,0,0.42105263157894735,nan,1.0,2.0624100897047253
run_1785977329_fc19d6,1337,1,0.35294117647058826,nan,1.0,2.080224619971381
run_1785977336_ea2029,1337,0,0.29411764705882354,nan,1.0,2.0657488902409873
run_1785977343_fcec6f,1337,0,0.06666666666666667,nan,1.0,2.1171455988808283
run_1785977349_9e653a,1337,1,0.5263157894736842,nan,1.0,2.0721433957417807
run_1785977355_f4fec0,1337,0,0.29411764705882354,nan,1.0,2.0341976748572455
run_1785977362_ab3889,1337,0,0.29411764705882354,nan,1.0,2.0530181460910373
run_1785977370_641aac,2718,0,0.06666666666666667,nan,1.0,2.120355273049975
run_1785977377_0d8bc3,2718,0,0.29411764705882354,nan,1.0,2.0633643998040094
run_1785977384_cf0903,2718,0,0.3684210526315789,nan,1.0,2.0424581368764243
run_1785977392_da590f,2718,1,0.7058823529411765,nan,1.0,2.119864569769965
run_1785977398_1ffa2f,2718,1,0.35294117647058826,nan,1.0,2.0724084112379284
run_1785977405_c9bc87,2718,0,0.0,nan,1.0,2.08780028328063
run_1785977411_bc22f1,2718,1,0.7058823529411765,nan,1.0,2.1073381938631575
run_1785977420_e76a62,2718,1,0.35294117647058826,nan,1.0,2.0846613778008356
run_1785977428_f68ac0,2718,0,0.0,nan,1.0,2.1191262744721913
run_1785977435_bfb739,2718,1,0.35294117647058826,nan,1.0,2.0804904566870794
run_1785977442_161f35,2718,0,0.06666666666666667,nan,1.0,2.099107106526693
run_1785977449_f192de,2718,1,0.35294117647058826,nan,1.0,2.089486175113254
run_1785977462_a06e39,2718,1,0.5,nan,1.0,2.057345337337918
run_1785977474_8c9e71,2718,0,0.06666666666666667,nan,1.0,2.1302608913845487
run_1785977483_ccb8e8,2718,0,0.06666666666666667,nan,1.0,2.1093802073645214
