run_id,seed,villager_win,vill_vote_accuracy,judge_accept,talk_vote_align,dz_mse
run_1785020767_16bb59,1337,0,0.0,nan,1.0,0.26114974703107563
run_1785020773_ae562c,1337,0,0.23529411764705882,nan,1.0,0.2668873402807448
run_1785020779_ca5bb5,1337,0,0.0,nan,1.0,0.26162569863455637
run_1785020785_6e6b7a,1337,1,1.0,nan,1.0,0.26458030939102173
run_1785020791_4f92b4,1337,1,0.5,nan,1.0,0.27437686920166016
run_1785020798_c1f11a,1337,1,0.35294117647058826,nan,1.0,0.2637478874789344
run_1785020804_ca5fee,1337,1,0.625,nan,1.0,0.2604801844036768
run_1785020811_85e900,1337,0,0.3333333333333333,nan,1.0,0.26555107368363273
run_1785020817_0fe29f,1337,1,0.35294117647058826,nan,1.0,0.2566436694728004
run_1785020824_bd059d,1337,0,0.29411764705882354,nan,1.0,0.2714892327785492
run_1785020830_d5886b,1337,0,0.29411764705882354,nan,1.0,0.2671155167950524
run_1785020837_ebd2de,1337,0,0.23529411764705882,nan,1.0,0.26681127150853473
run_1785020843_c831fc,1337,0,0.06666666666666667,nan,1.0,0.2765181707957434
run_1785020849_1f2b4e,1337,0,0.3333333333333333,nan,1.0,0.273142225212521
run_1785020855_6f560f,1337,0,0.0,nan,1.0,0.25839953195481075
run_1785020860_5f046a,1337,0,0.0,nan,1.0,0.2553639714680021
run_1785020866_01e538,1337,1,0.5,nan,1.0,0.2644116050667233
run_1785020872_9f8f6a,1337,0,0.06666666666666667,nan,1.0,0.2632877334715828
run_1785020877_38448b,1337,0,0.0,nan,1.0,0.27007871960836743
run_1785020883_94f638,1337,1,0.47368421052631576,nan,1.0,0.26689037349489
run_1785020888_4bc6be,1337,0,0.42105263157894735,nan,1.0,0.263574222723643
run_1785020894_161991,1337,1,0.35294117647058826,nan,1.0,0.269563721285926
run_1785020899_ab2e13,1337,0,0.23529411764705882,nan,1.0,0.26132291224267745
run_1785020905_0b76d8,1337,1,0.35294117647058826,nan,1.0,0.26914247539308334
run_1785020910_0921b1,1337,0,0.0,nan,1.0,0.2768845785231817
run_1785020915_328973,1337,0,0.06666666666666667,nan,1.0,0.2749163309733073
run_1785020921_2233a3,1337,1,0.5263157894736842,nan,1.0,0.2738129198551178
run_1785020926_11affc,1337,0,0.06666666666666667,nan,1.0,0.27201923491462826
run_1785020931_339500,1337,0,0.3333333333333333,nan,1.0,0.26217474540074664
run_1785020937_1820ea,1337,0,0.0,nan,1.0,0.2634811249990312
