run_id,seed,villager_win,vill_vote_accuracy,judge_accept,talk_vote_align,dz_mse
run_1785023066_1b7ab0,1337,0,0.0,nan,1.0,0.17076456736004542
run_1785023072_ac5e9c,1337,0,0.06666666666666667,nan,1.0,0.17070986732604013
run_1785023078_f736ff,1337,0,0.17647058823529413,nan,1.0,0.14734239627917609
run_1785023084_2b2fea,1337,1,0.5,nan,1.0,0.1582106202840805
run_1785023090_50a4aa,1337,1,0.35294117647058826,nan,1.0,0.1743341369761361
run_1785023096_f75fb7,1337,0,0.0,nan,1.0,0.17058773267836796
run_1785023102_4611fe,1337,1,0.5263157894736842,nan,1.0,0.14502810852395165
run_1785023108_45e85a,1337,1,0.625,nan,1.0,0.1430917770143539
run_1785023115_443144,1337,0,0.06666666666666667,nan,1.0,0.17642779198903885
run_1785023123_2b9570,1337,0,0.3684210526315789,nan,1.0,0.13710711316929924
run_1785023129_2ba9d3,1337,0,0.17647058823529413,nan,1.0,0.14759565061993069
run_1785023136_6ecb71,1337,0,0.3333333333333333,nan,1.0,0.1641510965095626
run_1785023141_d73e56,1337,1,0.5263157894736842,nan,1.0,0.14481193986203936
run_1785023147_d75cec,1337,1,0.35294117647058826,nan,1.0,0.1670535827676455
run_1785023153_5c7abb,1337,1,0.35294117647058826,nan,1.0,0.1669740445084042
run_1785023158_90e3db,1337,0,0.29411764705882354,nan,1.0,0.17645659959978527
run_1785023163_2761ab,1337,0,0.06666666666666667,nan,1.0,0.1709652476840549
run_1785023169_6e6f13,1337,0,0.3333333333333333,nan,1.0,0.16452769107288784
run_1785023174_8c42ec,1337,0,0.06666666666666667,nan,1.0,0.1507330886901371
run_1785023180_55d65b,1337,0,0.29411764705882354,nan,1.0,0.17634789480103386
run_1785023185_252a9f,2718,1,0.5,nan,1.0,0.14984705050786337
run_1785023191_e3a4d2,2718,0,0.0,nan,1.0,0.1637577632116893
run_1785023196_e99c46,2718,0,0.06666666666666667,nan,1.0,0.1998639295971583
run_1785023201_dca7b3,2718,1,0.35294117647058826,nan,1.0,0.17429225891828537
run_1785023207_b0efd8,2718,0,0.3684210526315789,nan,1.0,0.13777478204833138
run_1785023212_44c35b,2718,0,0.0,nan,1.0,0.19993773717728872
run_1785023217_dcde86,2718,0,0.06666666666666667,nan,1.0,0.1636304741814023
run_1785023222_f8e397,2718,0,0.23529411764705882,nan,1.0,0.16705088234610027
run_1785023228_535aaf,2718,0,0.06666666666666667,nan,1.0,0.19712711894322957
run_1785023233_ed136a,2718,0,0.3684210526315789,nan,1.0,0.1376863651805454
run_1785023238_c14be0,2718,1,0.5,nan,1.0,0.14967807630697885
run_1785023243_2bec1a,2718,1,0.7058823529411765,nan,1.0,0.12761537612430632
run_1785023249_dcf4a5,2718,0,0.3888888888888889,nan,1.0,0.15389534168773228
run_1785023254_d93780,2718,1,0.5,nan,1.0,0.14981398648685879
run_1785023259_6ee3f1,2718,0,0.3888888888888889,nan,1.0,0.16005554878049427
run_1785023265_fb69a7,2718,1,0.35294117647058826,nan,1.0,0.174139603972435
run_1785023270_41f0dc,2718,0,0.0,nan,1.0,0.19988573165166945
run_1785023275_7475c1,2718,0,0.3888888888888889,nan,1.0,0.154009739557902
run_1785023280_18402b,2718,0,0.3888888888888889,nan,1.0,0.16034900976551902
run_1785023285_6efcf4,2718,0,0.06666666666666667,nan,1.0,0.1760527671329559
