run_id,seed,villager_win,vill_vote_accuracy,judge_accept,talk_vote_align,dz_mse
run_1785993620_4e9a1c,1337,0,0.0,nan,0.8888888888888888,41.85823729543975
run_1785993628_211503,1337,0,0.26666666666666666,nan,0.8571428571428571,42.70640927269345
run_1785993635_d6bbf5,1337,0,0.0,nan,1.0,43.439376265914355
run_1785993642_d3efb6,1337,1,0.4444444444444444,nan,0.9090909090909091,43.12132532456342
run_1785993649_b8da0a,1337,1,0.5263157894736842,nan,1.0,43.89203247070313
run_1785993655_0a66f3,1337,0,0.125,nan,1.0,43.51800005363695
run_1785993662_cc0ab3,1337,1,0.631578947368421,nan,1.0,43.78635504306891
run_1785993669_2cc9e4,1337,1,0.45,nan,1.0,44.8040966796875
run_1785993677_dd602f,1337,0,0.3684210526315789,nan,1.0,43.15987066575038
run_1785993684_f6b7a4,1337,0,0.2,nan,0.9,45.83648584759425
run_1785993691_b0a2e3,1337,0,0.0,nan,1.0,45.366991799975196
run_1785993698_3f8dfe,1337,1,0.47619047619047616,nan,0.8,42.62063676883013
run_1785993705_1a861b,1337,1,0.5789473684210527,nan,1.0,43.330100504557294
run_1785993712_8731c4,1337,0,0.3157894736842105,nan,0.8333333333333334,42.275820131655095
run_1785993719_3ded0d,1337,0,0.2631578947368421,nan,0.9285714285714286,44.66961519217786
run_1785993726_ce71e4,2718,0,0.2631578947368421,nan,1.0,43.75941679212782
run_1785993733_1e8bf1,2718,0,0.21052631578947367,nan,1.0,41.837025583526234
run_1785993740_1ef728,2718,0,0.2,nan,1.0,43.50885106646825
run_1785993746_4d9a04,2718,1,0.5263157894736842,nan,0.9166666666666666,45.1225732421875
run_1785993752_96043f,2718,0,0.21052631578947367,nan,0.875,43.4917436764564
run_1785993759_ac68be,2718,0,0.05263157894736842,nan,0.8333333333333334,41.50047019675926
run_1785993768_03ffa7,2718,0,0.3157894736842105,nan,0.9,44.87802839867862
run_1785993774_afc985,2718,0,0.2857142857142857,nan,1.0,45.01701688218391
run_1785993782_998840,2718,0,0.125,nan,1.0,43.64875492905126
run_1785993788_ff4cc6,2718,0,0.0625,nan,0.8571428571428571,43.50631112763376
run_1785993794_1eff7c,2718,0,0.2631578947368421,nan,1.0,42.7603874206543
run_1785993801_a18fc0,2718,0,0.47368421052631576,nan,0.9,43.51293568552276
run_1785993807_5a16a6,2718,0,0.23809523809523808,nan,1.0,44.02565745818309
run_1785993813_7f4049,2718,0,0.16666666666666666,nan,0.8571428571428571,43.037082248263886
run_1785993819_b6a3b9,2718,1,0.55,nan,1.0,43.11959350585938
